source,target,ecm_alpha,nc_alpha,global_score,mlf_score,gloss_alpha,df_alpha,lans_alpha,pf_alpha,weight
16,5,0.00026659920695237815,0.0,48,388.4492928643867,1.0,0.26822858690458706,0.0,0.785016237662447,48
16,6,0.00044315974810160697,0.0,28,227.5171683653679,1.0,0.46750596131981625,0.0,0.286936399693587,28
16,7,0.00037115858867764473,0.0,35,283.860487892242,1.0,0.3853569591822349,0.0,0.352285724393352,35
16,8,0.00025341816945001483,0.0,50,404.53602596943716,1.0,0.25358330576642285,0.0,0.607311762549333,50
16,9,0.0002624870394356549,0.0,49,380.43830291730364,0.0328115,0.021813937512721315,0.0,0.52614101251074,49
16,10,0.0003185553359799087,0.0,41,332.13841138560423,1.0,0.32619747386574915,0.0,0.0386921143749239,41
16,11,0.0004114369221497327,0.0,54,410.34010493135685,0.0592181,0.14927685950413228,0.0,0.529218437648707,54
16,12,8.613298996351659e-05,0.0,93,709.782712893384,0.0149245,0.007001232842935634,0.0,0.429053982917424,93
16,13,0.0007617282099090517,0.0,4,33.76552267497418,1.0,0.8981595712585461,0.0,0.153719958329944,4
16,14,0.000688392436131835,0.0,9,74.32537285744483,1.0,0.7848765878443414,0.0,0.529218437648707,9
16,15,0.0008156575495377183,0.0,10,79.78699721435227,5.74503e-16,0.23076923076923073,0.0,0.929963681108167,10
16,2021,0.0010478856274858117,0.0,6,47.59522245458754,0.550586,0.33333333333333337,0.0,0.445678689178166,6
16,2022,0.0004557340289466083,0.0,45,345.0853761897318,0.0920104,0.12098298676748587,0.0,0.926954540131068,45
16,1008,0.008435235358774662,0.0,36,150.1255554519845,0.294486,0.3748247750810676,0.33333333333333337,0.109631734730815,36
16,1659,0.03781289607286453,7.72356623102155e-11,29,21.80856166553729,0.404706,0.4548123007802267,0.4666666666666667,0.665656717179431,29
16,1666,0.002239806344732642,0.0,132,414.3177153217602,0.0333413,0.022982326544441434,0.033333333333333326,0.431421817142978,132
16,1668,0.006347834598273039,0.0,55,205.4875370981652,0.210282,0.22026845316549792,0.09999999999999998,0.196121422660552,55
16,1733,0.0020345470402389765,0.0,150,410.7875086921631,0.0209024,0.013196868704270281,0.0,0.372610142967155,150
16,2023,0.0006883959285914898,0.0,9,74.32537285744483,1.0,0.7848765878443414,0.0,0.828145424003588,9
16,2020,0.0016021666815504432,0.0,20,141.794707812491,0.289415,0.28123334290048774,0.0,0.380290226994523,20
16,1202,0.033156849443912506,4.035544343139463e-09,26,17.93762574056409,0.440328,0.49392733929177657,0.5333333333333333,0.796816304203688,26
16,1272,0.02627008967101574,0.0,33,63.52547201752491,0.355979,0.4072851684543992,0.4,0.435397651569144,33
16,1288,0.01812669076025486,0.0,14,37.19229612045778,0.617328,0.6854499762820006,0.6666666666666667,0.0971075135364372,14
16,1542,0.04337162524461746,1.3176126856251358e-12,31,25.776479757780514,0.380922,0.43041579716630995,0.43333333333333335,0.90156528356369,31
16,1855,0.0005019261734560132,0.0,23,187.25350778576276,1.0,0.5362808397632182,0.0,0.518608846319775,23
16,1856,0.0007806437788531184,0.0,11,87.83794457271692,0.00247299,0.2142857142857143,0.0,0.464500797766656,11
16,17,0.00250969547778368,0.0,12,80.52216051212714,0.538582,0.6049382716049383,0.6666666666666667,0.396892502037092,12
16,1951,0.0007434503640979528,0.0,5,41.906130493185735,1.0,0.8743087671258346,0.0,0.612758292943691,5
16,1614,0.020577166229486465,0.0035329598765563297,5,4.171694082378352,0.858257,0.8743087671258346,0.9,0.75626337271263,5
1029,1008,0.00486478628590703,0.0,14,67.39397666184847,0.312534,0.35995843620447454,0.2777777777777778,0.326722679276696,14
1029,1022,0.0021449564956128597,1.9806378759312793e-13,2,18.998615823865855,0.347286,0.5,0.0,0.125558226153833,2
