source,target,df_alpha,gloss_alpha,global_score,lans_alpha,ecm_alpha,nc_alpha,mlf_score,weight,pf_alpha
79,150,0.6509094054190181,0.384388,178,0.33333333333333337,0.005612925626337528,0.0,584.1657831412765,178,0.154159607242684
79,145,0.69833729609375,0.553939,26,0.375,0.0017020106315612793,0.0,133.4836390643956,26,0.0060524325093058
88,157,0.08801749880144183,0.0810649,1209,0.0,0.010657263919711113,0.0,709.782712893384,1209,0.903815557129756
88,150,0.36006683745515833,0.294095,421,0.2692307692307693,0.020778192207217216,0.0,709.782712893384,421,0.585187113430369
88,104,0.44598364483183883,0.440604,96,0.33333333333333337,0.0009164704824797809,0.0,450.4127430636854,96,0.382560906066229
88,138,0.8047993713878061,0.713485,32,0.6666666666666667,0.001751342206262052,0.0,114.46050410884266,32,0.37990036208687
88,145,0.69833729609375,0.576469,26,0.375,0.004479877185076475,0.0,74.92715666318888,26,0.769327842428909
88,148,0.34697706034384734,0.369088,103,0.19999999999999996,0.0013541823718696833,0.0,446.46397935547674,103,0.399674498667216
88,153,0.8143859483237441,0.720379,131,0.5454545454545454,0.0041007474064826965,0.0,298.533987272584,131,0.139884686214391
88,648,0.46889086911754907,0.215706,775,0.09090909090909094,0.05783485993742943,0.0,709.782712893384,775,0.876024506631303
88,730,0.6510207807759728,0.384407,401,0.36363636363636365,0.06574967503547668,0.0,301.96932828011586,401,0.0972785157306356
89,157,0.21201672431480012,0.134602,775,0.0,0.01345307007431984,0.0,709.782712893384,775,0.0127024381462568
89,150,0.5044032313586887,0.373088,283,0.40384615384615385,0.016874894499778748,0.0,604.5459166856465,283,0.856903401955271
89,101,0.3421052631578947,0.582682,25,0.0,0.00028177432250231504,0.0,151.95528024953816,25,0.0217452598252288
89,104,0.37935369547778397,0.368308,111,0.0,0.0004963077954016626,0.0,607.0554385222026,111,0.103554012460665
89,574,0.7238855075395122,0.602068,136,0.5714285714285714,0.17182131111621857,0.0,70.12401596142207,136,0.999803895832647
94,127,0.1515595345533377,0.188939,473,0.07692307692307687,0.004983679391443729,0.0,709.782712893384,473,0.0366249594047332
94,157,0.12789235814644795,0.219277,1025,0.12745098039215685,0.09277953952550888,0.0,709.782712893384,1025,0.748869705941984
94,155,0.005324497118830096,0.0359863,1380,0.0,0.0004091236332897097,0.0,709.782712893384,1380,0.563303143486765
94,102,0.20638552987198033,0.232515,419,0.21052631578947367,0.010472491383552551,0.0,709.782712893384,419,0.744563526229939
94,128,0.7627565524111423,0.653597,221,0.4411764705882353,0.22392931580543518,0.8523479928702535,0.1425374174802546,221,0.652064515139191
94,150,0.7136130598872696,0.649519,140,0.7307692307692308,0.12921415269374847,1.33024408421889e-06,13.09217976915772,140,0.313084463816606
94,2034,0.17113574988377245,0.207882,102,0.1333333333333333,0.0056303320452570915,0.0,242.28960173593563,102,0.649924071284166
94,57,0.22890922669632086,0.240657,68,0.11111111111111116,0.0037587687838822603,0.0,185.54508848933202,68,0.709120442239425
94,77,0.2135937876571824,0.243639,485,0.16666666666666663,0.02035742811858654,0.0,709.782712893384,485,0.0756641941204756
94,58,0.3479028447251482,0.3201,143,0.25,0.002355331089347601,0.0,466.72128447214703,143,0.710428728851011
94,107,0.6369302585693034,0.633087,83,0.7142857142857143,0.007968944497406483,0.0,158.71483764945992,83,0.286991884514686
94,134,0.008513205220964437,0.0458103,1333,0.045454545454545414,0.0010384005727246404,0.0,709.782712893384,1333,0.71218075753907
94,146,0.2668771743774414,0.402628,666,0.0,0.002360572572797537,0.0,709.782712893384,666,0.715700918641963
94,529,0.5856953921061516,0.511815,362,0.4883720930232558,0.2407965213060379,1.4139356352416144e-11,24.606035360905498,362,0.202187318683199
94,554,0.09522792891468235,0.207252,1350,0.06766917293233088,0.11127139627933502,0.0,709.782712893384,1350,0.83074815032964
94,571,0.40735845421476435,0.443557,887,0.29166666666666663,0.1892823725938797,0.0,244.50137704940067,887,0.417004502662491
94,579,0.18311353469124847,0.241424,731,0.1544715447154471,0.15438221395015717,0.0,349.43785823232537,731,0.269959030758058
94,591,0.7761788368826432,0.690315,147,0.7083333333333333,0.40776947140693665,1.0,-0.0,147,0.235865734655518
94,625,0.024298063959590555,0.0979429,1531,0.04166666666666663,0.02370460517704487,0.0,709.782712893384,1531,0.302667978187251
94,651,0.4802759014389347,0.451916,548,0.41666666666666663,0.15339483320713043,0.0,168.67719437109776,548,0.44965690028057
94,691,0.05712062308272203,0.179627,1781,0.0,0.11247052997350693,0.0,709.782712893384,1781,0.723193578392327
94,700,0.6602891715772712,0.56215,252,0.5576923076923077,0.33117106556892395,0.8794626230049866,0.11484883179639023,252,0.121869661956969
108,150,0.8130161957162259,0.66947,86,0.5,0.015698693692684174,0.0,177.70110564978623,86,0.700976146884414
109,157,0.6402651455556108,0.262348,224,0.2857142857142857,0.035749226808547974,0.0,385.17615341790474,224,0.0003026267590734
109,150,0.43789246525849357,0.13014,341,0.0,0.005963543895632029,0.0,709.782712893384,341,0.516580760551092
109,134,0.6854823324390613,0.489404,117,0.4285714285714286,0.006740547250956297,0.0,359.8057687776401,117,0.423537719366856
109,647,0.8356670915996673,0.54688,105,0.5714285714285714,0.09513160586357117,0.0,79.11533615658604,105,0.239265430700013
109,682,0.9824782527002899,0.910194,9,0.8571428571428572,0.15200746059417725,0.994552700098829,0.0022939583666475773,9,0.0008195406033405
114,2054,0.9763779527559056,1.0,3,0.5,0.0006004361785016954,5.004885395010206e-13,20.650974455292044,3,0.534655136201023
128,68,0.12026325672115545,0.566894,48,0.0,0.005843746475875378,0.0,106.09108635537306,48,0.404339896696943
128,2028,0.060316805740879165,0.0889094,171,0.0,0.004284761380404234,0.0,433.78359984173414,171,0.171258793639487
128,127,0.022190927840072483,0.0638183,884,0.0,0.007548809051513672,0.0,709.782712893384,884,1.01509659133452
128,157,0.03887864748404035,0.175333,1609,0.0490196078431373,0.1462496668100357,0.0,334.2029115632802,1609,0.668487585254142
128,2029,0.30438388909251424,0.710071,42,0.2222222222222222,0.01918712817132473,0.0,57.38596729762831,42,0.105883564911793
128,155,0.40560444187452627,0.387322,287,0.3529411764705882,0.054146092385053635,0.0,240.3172246876405,287,0.0176167872374111
128,39,0.328888340609205,0.566706,35,0.25,0.008038830012083054,0.0,74.33034687131808,35,0.977612484477678
128,102,0.03254453417430092,0.0845261,865,0.052631578947368474,0.014594033360481262,0.0,709.782712893384,865,0.590467694317874
128,41,0.035636101634286654,0.485307,82,0.0,0.0027419840916991234,0.0,218.55145789369502,82,0.892312850270375
128,58,0.513595014431484,0.545293,96,0.5,0.015371991321444511,0.0,160.0030581482214,96,0.543050944048714
128,63,0.3852556480380501,0.327763,44,0.0,0.006941925268620253,0.0,101.3992384758997,44,0.0098234760848911
128,77,0.2994905195813342,0.318007,381,0.2941176470588235,0.12312036007642746,0.0,136.2446526208302,381,0.686080996245134
128,91,0.021003990758244107,0.0345841,59,0.0,0.0018995957216247916,0.0,181.81117186015717,59,0.529031410912622
128,107,0.48557301324792257,0.478198,130,0.4285714285714286,0.02946970798075199,0.0,150.09552989585106,130,0.0601645156607927
128,120,0.4005208078634652,0.443379,105,0.0,0.008531790226697922,0.0,235.28109666905408,105,0.57355650440458
128,129,0.15861771705927552,0.27298,139,0.0,0.004625501111149788,0.0,376.98571903104687,139,0.0513934032260148
128,134,0.00603542968113735,0.0425102,1418,0.0,0.006120434496551752,0.0,709.782712893384,1418,0.0028195394843171
128,136,0.2013241494319835,0.239828,77,0.09999999999999998,0.016851086169481277,0.0,114.77688758362355,77,0.449262186947272
128,150,0.5295591035295111,0.480484,263,0.3970588235294118,0.34698745608329773,0.9998833572878777,9.219891044759289e-05,263,0.0663379279490287
128,151,0.6889,0.700419,85,0.33333333333333337,0.015358183532953262,0.0,129.62259050868147,85,0.407485878155185
128,156,0.45261757545446935,0.623838,32,0.6,0.01399940438568592,0.0,51.85010734859555,32,0.118353953099995
128,2032,0.011617952838038237,0.01677,335,0.0,0.0031428576912730932,0.0,709.782712893384,335,0.579947718294822
128,2049,0.9326326579925488,1.0,57,0.0,0.0027539890725165606,0.0,184.50836751780133,57,0.622349043123449
128,506,0.744703266103312,0.68451,183,0.47058823529411764,0.8581458330154419,1.0,-0.0,183,0.794622048338397
128,514,0.9282303613169994,0.902668,77,0.7205882352941176,0.3319428265094757,1.0,-0.0,77,0.124700273976554
128,529,0.6187073255199805,0.595716,325,0.32352941176470584,0.6156419515609741,1.0,-0.0,325,0.492883511506045
128,554,0.012760408951016156,0.176406,2485,0.03759398496240607,0.12324225902557373,0.0,549.004275270034,2485,0.544835752981978
128,571,0.06889928544790913,0.438159,2616,0.09999999999999998,0.234524667263031,0.0,455.3091081546137,2616,0.3876208989741
128,574,0.00047279576913994426,0.048509,3150,0.0,0.0285639725625515,0.0,709.782712893384,3150,0.47968240470713
128,575,0.0007514309703048339,0.133465,4232,0.0,0.05754591152071953,0.0,709.782712893384,4232,0.793385570469718
128,579,0.662847462167701,0.599165,178,0.4852941176470589,0.6914672255516052,1.0,-0.0,178,0.001332085003902
128,591,0.6485761995827929,0.594126,251,0.4117647058823529,0.6945211291313171,1.0,-0.0,251,0.749832941060939
128,597,0.007241466435329746,0.15401,2747,0.03448275862068961,0.05432739108800888,0.0,709.782712893384,2747,0.713328140056724
128,625,0.6220249242619114,0.559059,199,0.4558823529411765,0.5831949710845947,1.0,-0.0,199,0.752428834801812
128,627,8.833309470313022e-05,0.0312805,3762,0.0,0.010807263664901257,0.0,709.782712893384,3762,0.261559054566095
128,645,0.5904373645014637,0.540388,273,0.36764705882352944,0.5951761603355408,1.0,-0.0,273,0.43600755221796
128,647,0.0029094217618845786,0.14384,3340,0.015748031496062964,0.06001895293593407,0.0,709.782712893384,3340,0.0214878031611862
128,648,0.009438820388547153,0.362628,4687,0.0,0.12589244544506073,0.0,709.782712893384,4687,0.717711607740871
128,651,0.34606949896547645,0.482162,791,0.2647058823529411,0.4017364978790283,0.6265112135321682,0.4464641294433356,791,0.787950471953189
