source,target,mlf_score,global_score,df_alpha,ecm_alpha,nc_alpha,weight,lans_alpha,gloss_alpha,pf_alpha
579,578,174.8845974813856,523,0.26517839903526974,0.1990213543176651,0.0,523,0.2666666666666667,0.382808,0.520248958093143
579,720,-0.0,80,0.8194331867147359,0.6674311757087708,1.0,80,0.9333333333333333,0.957193,0.222914257058138
579,733,-0.0,164,0.6638332758539836,0.6897115707397461,1.0,164,0.7333333333333334,0.841755,0.565700022281525
579,575,38.744613841106386,631,0.20005023232760688,0.2085793912410736,0.0,631,0.09999999999999998,0.214163,0.638426816998238
579,730,-0.0,247,0.5383146716265356,0.6156884431838989,1.0,247,0.7,0.894516,0.581544064126072
579,673,3.520300616219298e-05,265,0.5142913617836529,0.5020371079444885,0.9999547778389547,265,0.6666666666666667,0.638953,0.0013378622136881
579,736,-0.0,113,0.7545085087127682,0.7550254464149475,1.0,113,0.8,0.911384,0.0546391157368526
579,645,-0.0,118,0.7451153333396081,0.701238751411438,1.0,118,0.7666666666666666,0.874362,0.178730867913549
579,653,709.782712893384,829,0.11846874109935657,0.05910976603627205,0.0,829,0.06666666666666665,0.198698,0.475911529053452
579,2189,299.8473279858826,532,0.2590499611328573,0.16808293759822845,0.0,532,0.23333333333333328,0.318732,0.62407560946925
579,647,0.018311658361189986,431,0.3364138995469006,0.3621465563774109,0.9795975412702417,431,0.3666666666666667,0.466887,0.0093011516045758
579,723,5.5955240441109455e-14,95,0.7892798444950665,0.5524545311927795,0.9999999999998884,95,0.8666666666666667,0.938518,0.518449530933298
579,506,52.155347033612266,927,0.09108482836384058,0.1362193524837494,0.0,927,0.033333333333333326,0.0854113,0.59354353685387
506,627,7.357203435641228,949,0.16376969096879734,0.23188474774360657,0.000572611752612695,949,0.13793103448275867,0.179564,0.317426654938759
506,702,-0.0,737,0.5271202571128175,0.6560145616531372,1.0,737,0.4814814814814815,0.78866,0.144400037884667
506,529,73.76612817547591,1275,0.11465050839675028,0.17836451530456543,0.0,1275,0.07407407407407407,0.173238,0.0792527728995332
506,574,5.528220281705249,1218,0.1623895531637043,0.2514897882938385,0.003669955302611494,1218,0.09999999999999998,0.157444,0.628325520900679
506,591,2.088193665251862,1072,0.19757507882144587,0.28206130862236023,0.11791440751776738,1072,0.1428571428571429,0.247782,0.127480972714973
506,498,709.782712893384,2532,0.023658065457406785,0.06147871911525726,0.0,2532,0.0,0.12831,0.52162665425614
506,613,30.03537534928361,437,0.4258717530407762,0.4016927182674408,6.250555628639631e-14,437,0.36363636363636365,0.5831,0.0781085302727202
506,691,72.6717000227867,2130,0.09421846143336143,0.20418775081634521,0.0,2130,0.03125,0.161233,0.611635943392363
506,554,-0.0,1023,0.29244619148796913,0.40389376878738403,1.0,1023,0.10344827586206895,0.308783,0.366090436438926
506,663,23.01933717001414,1473,0.1908300183898214,0.29157307744026184,8.81793527085506e-11,1473,0.07999999999999996,0.391322,0.531535594072583
506,682,-0.0,828,0.3144381130084348,0.41602441668510437,1.0,828,0.2666666666666667,0.302,1.40826865914573e-05
506,648,2.5728337580998395e-05,1457,0.2783374806170271,0.4165106415748596,0.9999706738670432,1457,0.1875,0.655813,0.215135656436143
506,578,284.2187819545303,1316,0.25492848915271493,0.3159424066543579,0.0,1316,0.25,0.410519,0.477801959815992
506,720,9.077992716688964e-06,695,0.5019488412237314,0.5513513088226318,0.999989161692066,695,0.4,0.67577,0.528479091662554
506,723,709.782712893384,3563,0.008930022751577393,0.03867718204855919,0.0,3563,0.0,0.133861,0.47505256436503
506,673,29.104742044281256,1273,0.22092692851332307,0.3114766776561737,1.936228954946273e-13,1273,0.18181818181818177,0.405388,0.516688052918429
506,733,-0.0,755,0.5188543145367237,0.6256997585296631,1.0,755,0.43999999999999995,0.764239,0.236861564963423
506,490,214.06194801753836,109,0.9103984511021257,0.05037781968712807,0.0,109,0.0,1.0,0.11978223454061
506,736,-0.0,458,0.6430964308651022,0.7144673466682434,1.0,458,0.5217391304347826,0.799811,0.114869652593041
506,730,-0.0,517,0.6390352455277615,0.8538311719894409,1.0,517,0.75,0.988358,0.608270234423819
506,653,0.01659885546731359,309,0.6302977108672396,0.5521472096443176,0.9810838092669623,309,0.6,0.852311,0.416540024574869
506,2190,709.782712893384,2637,0.03272185783373294,0.07910695672035217,0.0,2637,0.0,0.188214,0.054279953648811
506,575,16.889338922459768,1564,0.14431109254294283,0.24665051698684692,4.141586429362576e-08,1564,0.033333333333333326,0.166119,0.47696944114335
506,2189,-0.0,203,0.7383056041175814,0.6929481029510498,1.0,203,0.8461538461538461,0.872532,0.597511607226654
506,647,-0.0,931,0.3746750060498608,0.4913124442100525,1.0,931,0.25,0.564004,0.201873469113125
506,645,3.692375506903424e-08,663,0.3720540671750663,0.44202539324760437,0.9999999537279866,663,0.2272727272727273,0.51036,0.299758634057743
574,627,25.067550916158936,627,0.3066038310889484,0.26589787006378174,9.938272427234551e-12,627,0.24137931034482762,0.317962,0.320211294342247
574,702,106.50484754099378,1479,0.10833190371809975,0.18393972516059875,0.0,1479,0.06666666666666665,0.21072,0.282611365188122
574,529,0.07463333099306058,467,0.4618466383406171,0.4062129855155945,0.9215125665277552,467,0.4666666666666667,0.507487,0.620277814392026
574,591,1.8209589393573362e-10,432,0.5263303645159367,0.468374639749527,0.9999999997517949,432,0.5666666666666667,0.577594,0.352987066253334
574,554,-0.0,407,0.5516589889845056,0.551983118057251,1.0,407,0.6,0.644288,0.279437830622755
574,673,-0.0,223,0.7229613179987895,0.7018396854400635,1.0,223,0.7333333333333334,0.824833,0.627543785551723
574,575,53.91749426146433,1051,0.20978302595572162,0.21401755511760712,0.0,1051,0.19999999999999996,0.224551,0.148364176759413
574,2190,0.00020150295587417844,249,0.6959626877655737,0.5052626729011536,0.999745732075077,249,0.6666666666666667,0.823162,0.119742268635827
574,691,30.565884439830263,1141,0.18279218839296163,0.2225104719400406,4.39648317751562e-14,1141,0.16666666666666663,0.155672,0.045362138701653
574,653,9.016868213534259e-05,144,0.8088386401380712,0.49873000383377075,0.9998764890282454,144,0.8,0.917377,0.385564045884311
574,645,-0.0,161,0.7898987166374644,0.7328646779060364,1.0,161,0.8333333333333334,0.875513,0.640387750687956
574,663,-0.0,462,0.5085707514393247,0.5181875824928284,1.0,462,0.52,0.608239,0.523459589357751
574,712,4.254862138345639e-09,132,0.8192695331149942,0.5449997186660767,0.9999999931401796,132,0.7272727272727273,0.930903,0.100924858987662
574,578,-0.0,191,0.7575805908909751,0.5609428286552429,1.0,191,0.75,0.877582,0.211830285392991
574,736,82.93933596105235,1085,0.19916260772601546,0.241538405418396,0.0,1085,0.17391304347826086,0.303244,0.17067156626972
574,648,290.9902735610343,1706,0.07582894159646858,0.13453812897205353,0.0,1706,0.033333333333333326,0.182906,0.367810076545363
