source,target,weight,mlf_score
575,1417,2176,709.782712893384
700,510,2172,709.782712893384
736,565,2165,709.782712893384
697,488,2156,709.782712893384
539,510,2155,709.782712893384
741,726,2145,709.782712893384
647,643,2142,709.782712893384
682,720,2139,709.782712893384
597,661,2135,709.782712893384
730,726,2130,709.782712893384
691,712,2113,709.782712893384
981,552,2111,709.782712893384
663,689,2106,709.782712893384
691,974,2094,709.782712893384
552,510,2094,709.782712893384
574,514,2072,709.782712893384
736,683,2063,709.782712893384
157,724,2058,709.782712893384
736,632,2057,709.782712893384
627,720,2039,709.782712893384
702,1187,2021,709.782712893384
645,737,2008,709.782712893384
132,645,2007,709.782712893384
645,735,1994,709.782712893384
663,611,1979,709.782712893384
627,692,1971,709.782712893384
691,984,1965,709.782712893384
579,643,1953,709.782712893384
514,673,1951,709.782712893384
506,671,1947,709.782712893384
554,537,1938,709.782712893384
552,673,1927,709.782712893384
723,741,1900,709.782712893384
529,1417,1899,709.782712893384
736,981,1898,709.782712893384
597,498,1896,709.782712893384
682,692,1894,709.782712893384
697,625,1888,709.782712893384
651,611,1867,709.782712893384
575,722,1861,709.782712893384
53,128,1843,709.782712893384
730,488,1840,709.782712893384
663,2067,1821,709.782712893384
591,688,1813,709.782712893384
691,1894,1813,709.782712893384
571,1417,1813,709.782712893384
552,683,1811,709.782712893384
1187,725,1791,709.782712893384
94,691,1781,709.782712893384
591,689,1772,709.782712893384
682,735,1771,709.782712893384
579,695,1762,709.782712893384
539,688,1757,709.782712893384
981,632,1729,709.782712893384
981,708,1724,709.782712893384
665,737,1715,709.782712893384
718,618,1705,709.782712893384
510,687,1694,709.782712893384
571,653,1691,709.782712893384
733,688,1690,709.782712893384
627,984,1687,709.782712893384
691,77,1685,709.782712893384
730,538,1680,709.782712893384
552,724,1676,709.782712893384
552,597,1675,709.782712893384
579,548,1666,709.782712893384
965,981,1659,709.782712893384
506,2067,1657,709.782712893384
651,613,1656,709.782712893384
730,2190,1651,709.782712893384
150,702,1636,709.782712893384
673,2189,1628,709.782712893384
697,1187,1626,709.782712893384
575,650,1620,709.782712893384
575,594,1619,709.782712893384
575,600,1609,709.782712893384
682,643,1608,709.782712893384
575,593,1597,709.782712893384
625,737,1583,709.782712893384
651,2183,1583,709.782712893384
552,695,1582,709.782712893384
627,674,1575,709.782712893384
673,720,1568,709.782712893384
574,612,1558,709.782712893384
651,520,1552,709.782712893384
153,157,1546,709.782712893384
529,1005,1546,709.782712893384
647,611,1545,709.782712893384
648,2194,1545,709.782712893384
506,2182,1535,709.782712893384
674,724,1534,709.782712893384
94,625,1531,709.782712893384
150,725,1527,709.782712893384
575,1189,1522,709.782712893384
682,737,1512,709.782712893384
661,683,1507,709.782712893384
571,1005,1506,709.782712893384
647,498,1501,709.782712893384
554,578,1501,709.782712893384
647,714,1494,709.782712893384
514,718,1485,709.782712893384
708,739,1484,709.782712893384
965,966,1480,709.782712893384
575,680,1468,709.782712893384
597,739,1467,709.782712893384
648,528,1460,709.782712893384
702,578,1460,709.782712893384
682,2067,1459,709.782712893384
53,733,1457,709.782712893384
591,578,1455,709.782712893384
697,2190,1449,709.782712893384
627,611,1436,709.782712893384
571,2183,1431,709.782712893384
645,986,1429,709.782712893384
574,569,1425,709.782712893384
702,1189,1425,709.782712893384
691,536,1422,709.782712893384
514,565,1422,709.782712893384
645,1187,1421,709.782712893384
651,680,1419,709.782712893384
128,134,1418,709.782712893384
708,724,1417,709.782712893384
632,724,1415,709.782712893384
673,692,1409,709.782712893384
691,102,1408,709.782712893384
702,1161,1408,709.782712893384
575,541,1402,709.782712893384
575,2183,1400,709.782712893384
579,2183,1399,709.782712893384
575,613,1390,709.782712893384
571,680,1390,709.782712893384
733,987,1387,709.782712893384
94,155,1380,709.782712893384
736,739,1380,709.782712893384
555,724,1372,709.782712893384
708,667,1372,709.782712893384
150,591,1371,709.782712893384
625,661,1371,709.782712893384
691,528,1370,709.782712893384
514,708,1370,709.782712893384
741,611,1370,709.782712893384
529,2067,1368,709.782712893384
506,507,1361,709.782712893384
682,498,1358,709.782712893384
661,687,1358,709.782712893384
645,739,1357,709.782712893384
