source,target,weight,pf_alpha
691,506,2130,0.0122578351296678
579,739,244,0.0123920666324426
645,985,233,0.0125434676091846
627,613,827,0.0125949743351215
625,726,793,0.0126060571604536
506,548,465,0.0126269069600703
89,157,775,0.0127024381462568
992,1407,13,0.0127948143739563
507,731,10,0.0128141970294137
539,613,407,0.012966630762909
685,700,744,0.0132011562196743
506,692,449,0.0132159466473286
157,120,102,0.0133435422600305
663,520,112,0.0135711182515939
632,741,135,0.0136996115212757
992,1898,6,0.0137098064489839
597,537,205,0.0138829692772177
937,2068,41,0.0139133513285495
128,691,576,0.0139482856477764
591,555,172,0.0141443067357055
648,712,36,0.014706266015987
697,625,1888,0.0147329980863769
1123,1174,16,0.0148737336588179
510,735,140,0.0148950323822224
647,715,288,0.0151175516432415
720,1002,165,0.0151283217785072
529,2205,57,0.0151780958732844
574,544,71,0.0153556277670573
554,642,256,0.0155309656572354
647,640,18,0.0155672254819966
574,708,146,0.0157700804339786
647,2262,63,0.0159282130751612
128,2052,85,0.0161987267867033
571,510,3186,0.0167577708453492
702,488,549,0.0174124835107452
128,155,287,0.0176167872374111
645,931,288,0.0177823180273057
691,723,407,0.0177968441388473
591,986,745,0.0179532028168875
730,727,840,0.01816839178126
981,984,260,0.018222643683275
741,605,11,0.0183509429972222
506,608,1331,0.0183642818434421
627,682,508,0.0183937337895031
702,953,67,0.0185112629757722
738,618,1272,0.0186418619496169
665,579,326,0.0188207344969584
645,618,339,0.0188385045903849
574,733,950,0.0190726179759184
571,729,480,0.019154399946013
591,554,669,0.0192222756536629
597,1000,72,0.0193107465482529
682,710,472,0.0194179170457469
552,663,114,0.0196197918187155
575,2191,184,0.01967802081466
736,593,431,0.0199194145660837
579,632,196,0.0201093126873854
599,640,23,0.0201387127945875
665,692,258,0.0202300224861769
122,55,8,0.0203713004430343
965,974,264,0.0203925440609409
697,654,24,0.0206071368471024
53,73,182,0.020680124834097
554,2181,203,0.0208574428085276
506,618,580,0.0210203377429606
674,700,233,0.0210207815596226
645,539,177,0.021281745599765
554,929,588,0.0214346983709897
128,647,3340,0.0214878031611862
691,2194,327,0.0215285418453666
645,552,267,0.021576589634355
665,726,81,0.0216024923416796
89,101,25,0.0217452598252288
575,688,411,0.0218712742625056
651,541,846,0.0219173301326779
965,977,341,0.022657300449706
554,683,330,0.0230028605371393
539,565,204,0.0230395181919228
648,555,8876,0.0232629595688088
627,729,132,0.0232864804541723
579,725,2943,0.0233151038488449
627,502,144,0.0236410244357504
645,692,204,0.0237085698793363
571,642,1164,0.0239126807637678
68,2658,12,0.02393218245785
627,730,497,0.0239371997042193
995,933,14,0.0239457896938132
702,596,199,0.0244442152624776
53,971,95,0.0245566943536002
691,986,938,0.024598218170262
506,559,1326,0.0250348915059979
736,669,117,0.0253044223904367
574,664,1116,0.0254690595153404
591,931,169,0.0257292632988112
77,929,208,0.0257747593602692
554,729,366,0.0258982706898059
579,1005,784,0.0259665952755647
574,739,487,0.0260729832347044
700,714,265,0.0265398764085055
736,665,104,0.0266639267506926
127,102,472,0.0270508020240042
702,554,411,0.0271409484457008
539,611,771,0.0274996488490109
506,622,332,0.0276654529236806
1137,1129,28,0.0279734525515591
95,100,44,0.0283646200076297
579,2244,52,0.0286952389409817
31,2028,24,0.0288099012567443
691,540,443,0.0288232411227822
700,929,1297,0.0288243056457374
625,718,141,0.0288479748466831
506,2177,257,0.0288548122902236
574,641,125,0.029323077224443
498,2168,109,0.0296616440869601
144,1863,7,0.0300072545035766
579,566,414,0.0300749931316993
1005,2252,40,0.0306360256943359
730,1187,231,0.0306902648484036
554,595,304,0.0307396762459254
2032,102,181,0.0309755411986665
685,554,317,0.0311604223868039
