source,target,weight,gloss_alpha
627,611,1436,0.119061
157,50,309,0.11912
663,723,3164,0.119243
506,605,262,0.11944
150,645,1062,0.11966
575,927,506,0.119793
575,609,97,0.12009
127,102,472,0.120281
700,1005,1170,0.120309
665,613,652,0.120777
53,150,1122,0.121271
597,632,1283,0.121804
574,1161,688,0.12202
575,599,536,0.122068
627,604,670,0.122318
625,987,708,0.122343
648,1161,947,0.122349
597,937,200,0.122497
554,595,304,0.122794
554,671,1236,0.122893
574,682,1050,0.122949
579,549,659,0.123127
574,647,1192,0.123313
575,1005,1129,0.123511
625,739,919,0.123776
730,690,1196,0.124164
708,739,1484,0.124213
665,506,634,0.124362
565,597,1205,0.12482
645,937,197,0.125575
554,1404,155,0.126054
597,511,713,0.12655
574,506,1218,0.126697
575,715,574,0.126791
645,1005,1012,0.127731
1417,1412,480,0.128021
682,665,582,0.12823
539,488,1048,0.129124
691,685,1252,0.129199
571,740,956,0.130031
109,150,341,0.13014
597,619,572,0.130491
591,2195,323,0.131106
157,724,2058,0.13111
645,735,1994,0.131246
663,664,852,0.131436
118,2048,52,0.131441
150,725,1527,0.131547
730,1154,166,0.131891
738,965,944,0.132167
663,619,573,0.132495
539,1005,755,0.132761
682,692,1894,0.132804
736,718,2462,0.133018
618,643,832,0.133148
625,737,1583,0.133319
736,1161,752,0.13332
154,50,83,0.133366
128,575,4232,0.133465
