source,target,weight
627,510,290
627,516,345
627,520,158
627,527,151
627,529,175
627,533,127
627,535,179
627,539,230
627,541,818
627,548,543
627,552,147
627,553,70
627,554,512
627,555,95
627,559,706
627,562,180
627,565,250
627,568,3
627,571,236
627,578,288
627,579,516
627,586,156
627,597,201
627,604,670
627,607,94
627,610,59
627,611,1436
627,613,827
627,617,59
627,620,121
627,622,704
627,625,141
627,564,413
627,628,106
627,632,138
627,642,144
627,643,96
627,647,437
627,648,1035
627,2197,82
627,2235,85
627,650,822
627,2176,159
627,651,517
627,653,144
627,2236,84
627,2216,195
627,661,148
627,663,424
627,667,229
627,668,142
627,673,509
627,674,1575
627,2179,51
627,677,144
627,682,508
627,683,616
627,688,245
627,689,98
627,690,960
627,691,1024
627,692,1971
627,695,596
627,697,2146
627,700,414
627,702,497
627,708,121
627,709,152
627,712,701
627,718,134
627,720,2039
627,724,658
627,725,195
627,726,271
627,2183,893
627,729,132
627,730,497
627,733,387
627,2185,108
627,735,1081
627,736,295
627,737,1453
627,738,159
627,739,161
627,741,188
627,2189,178
627,2190,93
627,2191,185
627,2256,9
627,2193,89
627,2194,114
627,932,377
627,934,133
627,935,48
627,936,123
627,1894,394
627,938,159
627,939,361
627,940,62
627,947,235
627,952,135
627,958,131
627,961,19
627,963,143
627,965,547
627,966,338
627,968,189
627,969,41
627,971,380
627,972,119
627,974,121
627,975,66
627,976,87
627,979,30
627,981,274
627,982,217
627,2257,246
627,2258,125
627,2259,43
627,983,375
627,984,1687
627,985,161
627,986,845
627,987,318
627,995,227
627,1005,648
627,2195,141
627,1187,954
627,1417,909
627,2068,146
627,949,30
627,1423,14
647,488,148
647,498,1501
647,502,185
647,506,931
647,507,510
647,510,251
647,514,2322
647,520,2344
647,521,355
647,522,206
647,524,217
647,527,136
647,528,93
647,529,199
647,537,1027
647,538,530
647,539,392
647,540,147
647,549,745
647,552,124
647,554,240
647,555,111
647,559,436
647,561,262
647,565,92
647,571,7566
647,576,276
647,578,1185
647,579,431
647,586,84
647,588,589
647,593,446
647,594,69
647,597,170
647,598,727
647,599,494
647,602,71
647,603,251
647,604,126
647,606,80
647,609,13
647,611,1545
647,614,122
647,618,239
647,625,460
647,628,220
647,629,196
647,632,189
647,640,18
647,643,2142
647,645,1034
647,648,2605
647,2197,217
647,652,229
647,653,925
647,2236,381
647,2216,78
647,661,168
647,663,158
647,665,420
647,667,99
647,668,623
647,669,593
647,673,225
647,674,141
647,676,530
647,678,120
647,679,546
647,681,166
647,682,442
647,683,123
647,687,632
647,688,98
647,689,128
647,690,139
647,691,778
647,697,437
647,700,308
647,702,880
647,703,516
647,708,98
647,710,615
647,712,8
647,714,1494
647,715,288
647,718,4553
647,722,438
647,725,774
647,726,177
647,1878,684
647,2262,63
647,729,76
647,730,919
647,733,1253
647,2184,524
647,2185,595
647,735,497
647,736,504
647,737,291
647,738,516
647,739,195
647,741,164
647,2189,524
647,2190,145
647,2194,739
647,952,517
647,965,207
647,966,1100
647,980,27
647,984,816
647,1161,940
647,1187,109
647,719,18
647,2673,12
648,488,426
648,505,421
648,506,1457
648,510,656
648,514,5410
648,524,490
648,527,360
648,528,1460
648,529,1378
648,539,289
648,552,4425
648,554,290
648,555,8876
648,559,569
648,563,10
648,565,121
648,571,252
648,579,382
648,586,221
648,588,698
648,594,501
648,597,270
648,602,2201
648,618,200
648,625,737
648,628,744
648,632,291
648,645,3288
648,2263,80
648,661,222
648,663,816
648,665,279
648,667,202
648,669,141
648,673,594
648,674,4381
648,679,224
648,682,602
648,683,512
648,687,897
648,688,4276
648,691,1777
648,695,2565
648,697,889
648,700,450
648,702,1431
648,708,8838
648,712,36
648,2182,792
648,717,1046
648,718,250
648,722,587
648,2229,119
648,725,888
648,726,350
648,727,128
648,728,118
648,730,1757
648,733,3959
648,735,1760
648,736,1062
648,737,1333
648,739,288
648,2264,182
648,741,2207
648,2190,535
648,2194,1545
648,932,614
648,939,223
648,952,554
648,953,92
648,958,172
648,2265,30
648,963,196
648,965,966
648,967,98
648,970,5
648,971,277
648,974,546
648,981,319
648,2266,21
648,2258,167
648,2259,86
648,984,176
648,985,334
648,986,1259
648,987,248
648,2195,393
648,1161,947
648,1183,420
648,1184,421
648,1187,1398
648,1189,669
648,2267,519
648,2283,6
648,516,8
648,2674,26
648,2260,18
648,950,5
682,488,842
682,489,57
682,498,1358
682,506,828
682,507,100
682,510,103
682,513,453
682,514,114
682,520,1208
682,521,63
682,522,178
682,523,65
682,526,200
682,527,146
682,528,473
682,529,472
682,531,59
682,537,888
682,539,242
682,540,167
682,549,77
682,552,163
682,554,334
682,555,108
682,565,156
682,566,83
682,569,823
682,571,420
682,576,148
682,578,140
682,579,266
682,593,213
682,597,2645
682,598,628
682,599,160
682,600,570
682,602,825
682,603,161
682,606,93
682,608,119
682,611,134
682,614,118
682,615,44
682,616,69
682,625,230
682,628,77
682,631,28
682,632,150
682,633,58
682,637,55
682,643,1608
682,645,245
682,646,96
682,650,584
682,651,261
682,655,79
682,656,88
682,660,485
682,661,251
682,663,293
682,665,582
682,667,166
682,671,526
682,673,210
682,674,210
682,676,29
682,678,134
682,680,153
682,681,287
682,683,2860
682,687,486
682,688,828
682,689,155
682,691,1153
682,692,1894
682,697,169
682,700,379
682,702,732
682,703,351
682,708,105
682,710,472
682,712,1044
682,715,116
682,718,126
682,2272,56
682,720,2139
682,723,748
682,2273,101
682,724,114
682,725,255
682,726,80
682,1878,377
682,729,123
682,730,539
682,733,493
682,735,1771
682,736,184
682,737,1512
682,738,290
682,739,309
682,2067,1459
682,741,2567
682,2189,431
682,2190,977
682,2247,407
682,2191,1268
682,2194,437
682,929,552
682,981,2433
682,1161,930
691,146,559
691,486,414
691,488,172
691,498,211
691,499,84
691,506,2130
691,507,231
691,510,471
691,511,695
691,512,642
691,513,206
691,514,342
691,520,179
691,526,132
691,527,721
691,528,1370
691,529,1387
691,532,67
691,536,1422
691,537,436
691,539,515
691,540,443
691,541,990
691,542,167
691,546,983
691,547,157
691,548,191
691,549,448
691,552,739
691,554,693
691,555,710
691,556,306
691,557,61
691,559,197
691,560,178
691,565,905
691,566,249
691,569,480
691,570,92
691,571,1131
691,573,119
691,576,473
691,578,535
691,579,1005
691,581,62
691,585,210
691,586,199
691,589,212
691,593,303
691,597,526
691,598,256
691,599,237
691,600,270
691,608,368
691,611,542
691,612,171
691,613,212
691,619,225
691,622,819
691,625,192
691,628,324
691,632,813
691,642,405
691,643,344
691,645,610
691,646,149
691,650,290
691,651,2548
691,653,265
691,655,103
691,656,131
691,660,246
691,661,582
691,663,748
691,664,314
691,667,505
691,670,91
691,671,974
691,673,709
691,674,512
691,675,66
691,676,293
691,677,665
691,680,458
691,683,435
691,685,1252
691,687,884
691,688,337
691,689,509
691,564,23
691,692,166
691,2274,59
691,695,533
691,697,458
691,700,781
691,702,830
691,703,254
691,708,605
691,709,355
691,712,2113
691,714,124
691,2182,44
691,715,191
691,718,410
691,720,417
691,722,2514
691,1877,296
691,723,407
691,2273,256
691,724,292
691,725,570
691,726,306
691,2183,127
691,2245,57
691,1878,128
691,729,504
691,730,1038
691,733,1380
691,2184,348
691,735,185
691,736,603
691,737,1285
691,738,464
691,2239,42
691,2186,715
691,739,630
691,2275,95
691,2067,401
691,2276,126
691,741,393
691,2189,248
691,2190,2470
691,2247,275
691,2191,308
691,2248,314
691,2194,327
691,929,1151
691,1894,1813
691,952,1401
691,965,438
691,966,971
691,971,1100
691,974,2094
691,981,363
