id,IATA,Latitude,Longitude,Name,City,Country,Label,degree,weighted_degree,component
954,CLQ,19.277,-103.577002,Licenciado Miguel de la Madrid Airport,Colima,Mexico,MMIA,2,202,51
1156,AKN,58.67679977,-156.6490021,King Salmon Airport,King Salmon,United States,PAKN,5,202,4
1135,ADQ,57.75,-152.4940033,Kodiak Airport,Kodiak,United States,PADQ,2,201,4
2367,SCC,70.19470215,-148.4649963,Deadhorse Airport,Deadhorse,United States,PASC,5,197,4
1188,LNY,20.785600662231445,-156.9510040283203,Lanai Airport,Lanai,United States,PHNY,3,189,27
658,LWS,46.3745002746582,-117.01499938964844,Lewiston Nez Perce County Airport,Lewiston,United States,KLWS,4,188,47
65,YGR,47.42470169067383,-61.778099060058594,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,CYGR,3,186,3
2378,FYU,66.57150268554688,-145.25,Fort Yukon Airport,Fort Yukon,United States,PFYU,4,185,4
156,YYY,48.60860061645508,-68.20809936523438,Mont Joli Airport,Mont Joli,Canada,CYYY,5,178,3
2202,SDY,47.706902,-104.193001,Sidney - Richland Regional Airport,Sidney,United States,KSDY,1,177,16
1134,DLG,59.04470062,-158.5050049,Dillingham Airport,Dillingham,United States,PADL,2,175,4
1151,ILI,59.75439835,-154.9109955,Iliamna Airport,Iliamna,United States,PAIL,1,169,4
100,YPX,60.05059814453125,-77.28690338134766,Puvirnituq Airport,Puvirnituq,Canada,CYPX,4,166,3
75,YHU,45.5175018311,-73.4169006348,Montréal / Saint-Hubert Airport,Montreal,Canada,CYHU,4,166,3
926,GDT,21.444499969482425,-71.14230346679688,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands,MBGT,3,165,19
993,CYB,19.687000274658203,-79.88279724121094,Gerrard Smith International Airport,Cayman Brac,Cayman Islands,MWCB,3,157,22
590,EWB,41.67610168457031,-70.95690155029297,New Bedford Regional Airport,New Bedford,United States,KEWB,3,153,11
493,ACV,40.978101,-124.109,California Redwood Coast-Humboldt County Airport,Arcata CA,United States,KACV,3,148,20
1170,ANI,61.58160018920898,-159.54299926757812,Aniak Airport,Aniak,United States,PANI,8,147,4
41,YBG,48.33060073852539,-70.99639892578125,CFB Bagotville,Bagotville,Canada,CYBG,5,145,3
68,YGW,55.28189849853516,-77.76529693603516,Kuujjuarapik Airport,Kuujjuarapik,Canada,CYGW,6,139,3
2196,PIR,44.38270187,-100.2860031,Pierre Regional Airport,Pierre,United States,KPIR,3,138,5
2055,YYD,54.82469940185547,-127.18299865722656,Smithers Airport,Smithers,Canada,CYYD,3,134,23
55,YEV,68.30419921880001,-133.483001709,Inuvik Mike Zubko Airport,Inuvik,Canada,CYEV,7,131,9
149,YYB,46.363602,-79.422798,North Bay Jack Garland Airport,North Bay,Canada,CYYB,2,130,52
994,LYB,19.660161,-80.088826,Edward Bodden Airfield,Little Cayman,Cayman Islands,MWCL,2,128,22
64,YGP,48.7752990723,-64.4785995483,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,CYGP,2,127,3
2054,YWL,52.1831016541,-122.054000854,Williams Lake Airport,Williams Lake,Canada,CYWL,2,127,32
90,YMO,51.29109954833984,-80.60780334472656,Moosonee Airport,Moosonee,Canada,CYMO,2,126,8
2166,TEB,40.85010147089999,-74.060798645,Teterboro Airport,Teterboro,United States,KTEB,1,121,11
95,YPH,58.471900939941406,-78.07689666748047,Inukjuak Airport,Inukjuak,Canada,CYPH,3,118,3
2048,YYQ,58.739200592041016,-94.06500244140624,Churchill Airport,Churchill,Canada,CYYQ,4,117,3
63,YGL,53.625301361083984,-77.7042007446289,La Grande Rivière Airport,La Grande Riviere,Canada,CYGL,3,116,3
1177,UNK,63.88840103,-160.798996,Unalakleet Airport,Unalakleet,United States,PAUN,5,116,17
1140,GAL,64.73619843,-156.9369965,Edward G. Pitka Sr Airport,Galena,United States,PAGA,6,114,4
39,YBC,49.13249969482422,-68.20439910888672,Baie Comeau Airport,Baie Comeau,Canada,CYBC,4,113,3
82,YKL,54.805301666259766,-66.8052978515625,Schefferville Airport,Schefferville,Canada,CYKL,4,113,3
66,YGT,69.3647003174,-81.8161010742,Igloolik Airport,Igloolik,Canada,CYGT,3,111,7
2168,OGS,44.6819000244,-75.46549987790002,Ogdensburg International Airport,Ogdensburg,United States,KOGS,1,109,25
1408,SFG,18.099899291992,-63.047199249268,L'Espérance Airport,St. Martin,Guadeloupe,TFFG,2,108,1
2041,YXP,66.1449966431,-65.71360015869999,Pangnirtung Airport,Pangnirtung,Canada,CYXP,2,106,7
649,LBE,40.27590179,-79.40480042,Arnold Palmer Regional Airport,Latrobe,United States,KLBE,3,104,41
713,PUW,46.7439,-117.110001,Pullman Moscow Regional Airport,Pullman,United States,KPUW,2,100,47
572,DDC,37.76340103149414,-99.9655990600586,Dodge City Regional Airport,Dodge City,United States,KDDC,2,99,33
