source,target,weight,ecm_alpha
1161,1137,309,0.0004150817403569
521,2199,74,0.0004213444481138
1173,2374,13,0.0004221930867061
118,54,26,0.000422320474172
28,1953,8,0.0004224120057187
28,2027,8,0.0004224123840685
498,2167,59,0.0004266335745342
521,2200,70,0.0004335850535426
1157,2393,14,0.0004342680331319
50,2003,2,0.0004421223420649
927,926,154,0.000446257618023
1157,1911,5,0.0004528266726993
521,2198,62,0.0004587089060805
498,2168,109,0.0004606197762768
43,108,38,0.0004673450894188
1165,2404,47,0.000469645980047
57,66,62,0.0004700636491179
42,2727,2,0.0004704044840764
1156,2411,6,0.0004709305358119
1156,2391,6,0.0004709328059107
2367,1122,10,0.0004729455686174
1187,1188,175,0.0004730582004413
1189,1181,48,0.0004815903375856
1165,2403,59,0.0004861951165366
1189,1186,56,0.0004925416433252
93,74,15,0.0004936956684105
89,104,111,0.0004963077954016
57,49,33,0.0004973656614311
986,1895,2,0.0004988949513062
134,123,41,0.0005230981041677
989,928,35,0.000526679563336
2204,590,46,0.0005331215215846
1157,2389,65,0.000535110651981
2047,137,3,0.0005358500638976
132,145,350,0.0005447746370919
36,85,22,0.0005497081438079
118,2048,52,0.0005525129381567
2197,562,231,0.0005691674305126
1130,1128,6,0.0005720529006794
68,92,32,0.0005783524829894
45,38,21,0.0005807112320326
110,33,19,0.0005818194476887
1125,2374,29,0.000585698231589
1137,1140,64,0.0005880347453057
488,2164,58,0.0005895697395317
1172,2414,8,0.0005927482852712
92,2658,11,0.0005937737296335
114,2054,3,0.0006004361785016
131,2053,17,0.0006031476077623
1125,1173,28,0.0006062987376935
1154,1146,18,0.000606337445788
1161,1156,153,0.0006077090511098
1126,2376,7,0.0006097539444454
155,2003,2,0.0006208771956153
1185,1188,7,0.0006240354268811
1161,1136,460,0.0006276881904341
1123,2370,44,0.0006282568210735
1125,2367,61,0.0006330882315523
572,2224,3,0.0006348635070025
1137,2376,67,0.000635320728179
110,59,23,0.0006356593803502
1154,1153,6,0.0006449490902014
1123,2372,43,0.0006511067040264
154,50,83,0.0006533584091812
965,961,658,0.0006578902830369
1154,2388,3,0.0006600725464522
126,2660,1,0.000662027450744
1154,1157,135,0.000669615343213
110,96,17,0.0006707441061735
57,2039,16,0.0006778767565265
97,67,5,0.0006790615152567
1157,2395,37,0.0006792234489694
1860,91,8,0.0006840447313152
158,122,11,0.0006872535450384
1176,2409,7,0.0006880104192532
71,1862,5,0.0006893689278513
2367,1168,20,0.0006893791141919
57,2040,41,0.0006910620722919
1129,2378,16,0.0007003460195846
155,38,31,0.0007036466849967
1412,2533,24,0.0007093333406373
131,61,9,0.0007171213510446
