source,target,weight,df_alpha
647,714,1494,0.0188152755193912
529,1005,1546,0.018855524480702
575,564,802,0.0190475215218441
134,123,41,0.0192180666909622
132,645,2007,0.0193497601311761
981,947,703,0.0196322683006788
552,510,2094,0.0199014472530016
981,953,480,0.0199129341210539
730,713,98,0.02
691,952,1401,0.0200103653606046
597,638,680,0.0201807536666829
2068,1427,584,0.0204880156037712
1165,2404,47,0.0208333333333333
128,91,59,0.0210039907582441
571,1005,1506,0.0210155841511612
506,498,2532,0.0213630532345409
529,1417,1899,0.0213833398985219
648,741,2207,0.0216535416698221
981,976,451,0.021890239780299
575,650,1620,0.0219127340190601
128,127,884,0.0221909278400724
53,2034,205,0.0222131234854237
627,984,1687,0.022251846673747
591,661,2189,0.022357942308777
730,571,3664,0.0230575440516567
157,702,2787,0.0232366684454999
591,965,1542,0.0233015583936998
1161,1170,61,0.023456748718117
132,2054,124,0.0236220472440944
736,718,2462,0.0237270250908318
648,528,1460,0.0239233703952138
575,549,998,0.0239403230749769
738,618,1272,0.0241216704400554
94,625,1531,0.0242980639595905
597,661,2135,0.024662961058347
733,952,1327,0.0248527010658334
697,488,2156,0.0252939775291034
571,1417,1813,0.0256557760890867
965,952,1314,0.0258139263170785
965,2266,94,0.0259276758324303
648,717,1046,0.0263415746734525
741,619,849,0.0267684552136505
733,726,2371,0.026924064499527
663,930,666,0.0269313264198506
579,966,1226,0.0269509627097621
506,608,1331,0.0271563702689814
682,981,2433,0.0274461414146336
673,2189,1628,0.02770393242385
708,739,1484,0.0281374424921839
150,2034,193,0.028630330031276
575,692,2325,0.0286342808507883
529,491,704,0.0288473365898619
597,739,1467,0.0293494810138721
725,729,823,0.0296762351688271
697,571,3421,0.0297554413665692
575,514,3393,0.0298236579900766
1417,2532,322,0.029933214995041
575,722,1861,0.0300976408301014
574,664,1116,0.0301679226576735
708,618,1198,0.0302125753535341
591,987,1085,0.0302827784022704
574,572,96,0.0303030303030302
157,730,3191,0.0307761531848105
691,651,2548,0.0308638966131065
506,2190,2637,0.0309039673287854
965,967,198,0.0309600317669382
691,528,1370,0.030996674047856
702,965,1425,0.0311929853603014
150,77,1053,0.0313472840189915
691,506,2130,0.0314186832715559
157,992,302,0.0315032559956109
733,674,3329,0.0316031609535054
571,724,2532,0.0318148378907082
741,498,2292,0.0319310054077118
132,2055,110,0.0320784139006461
647,2184,524,0.0321268739171166
1123,1910,30,0.032258064516129
128,102,865,0.0325445341743009
651,613,1656,0.0325581698813806
674,683,2270,0.0327024711845146
529,927,699,0.0328998996166355
145,2065,18,0.0330578512396695
682,643,1608,0.0331261676390031
651,689,2469,0.0340135701489588
591,726,2224,0.0340782527109644
134,118,135,0.0343194482746522
514,565,1422,0.0347322692899763
730,1161,1016,0.0349205269457558
730,690,1196,0.034941878183496
625,2254,55,0.0350877192982456
128,41,82,0.0356361016342866
554,2182,1180,0.0360825644885635
574,2191,2252,0.0362091774164725
736,739,1380,0.0364020918263437
529,735,2271,0.0365871089539264
663,2067,1821,0.0372362309905214
723,741,1900,0.037421081163537
571,578,2523,0.0375489075256718
554,737,2967,0.0379678755539106
574,2224,76,0.0379746835443037
645,739,1357,0.0385295250463648
741,726,2145,0.0386529804608707
645,648,3288,0.0387700581208315
128,157,1609,0.0388786474840403
673,725,3296,0.0388943445914148
2191,731,55,0.0393728582608269
691,2190,2470,0.0395141570615056
730,726,2130,0.0395865162059732
647,966,1100,0.0398629055263269
132,52,24,0.04
648,628,744,0.0408387117391834
965,554,1823,0.0413624254283762
661,687,1358,0.0414227775522909
733,971,1292,0.0415873193611719
730,1137,163,0.0416735037386576
645,1404,210,0.0418270569527019
725,528,1260,0.0422882166186878
645,1412,653,0.0425565563840256
733,981,2139,0.0428449181171263
663,2188,63,0.0432271423063634
571,2193,955,0.0432944291841068
153,157,1546,0.0442376536704264
648,1161,947,0.0443458041623653
574,724,2300,0.044410151729718
574,612,1558,0.0444390418879866
730,488,1840,0.045127819208989
730,1157,212,0.0452546722068345
736,683,2063,0.0452598394545221
981,979,453,0.0453213864390246
647,1161,940,0.0454295300974545
565,698,42,0.0454551239424902
571,740,956,0.0454896598064917
952,978,540,0.0469046888977987
965,946,264,0.0469897947861197
682,1161,930,0.0470223721802022
597,494,141,0.0472636950940872
510,2197,647,0.0472763029086192
554,618,1048,0.047526399746543
575,676,827,0.0475898820952019
981,565,1293,0.0476219225516325
597,674,2953,0.0476884470519025
506,966,1035,0.0486891798286527
579,695,1762,0.0487447474205644
506,539,1106,0.0488037251802154
952,2257,631,0.0490369211638813
529,2204,237,0.0491526452076804
506,646,630,0.0495988725759637
1161,1135,191,0.0497512437810945
110,33,19,0.05
529,2183,2314,0.0500605046332423
575,609,97,0.050176
