source,target,weight,nc_alpha
575,593,1597,0.0
645,800,1592,0.0
529,893,1587,0.0
193,691,1586,0.0
132,1201,1584,0.0
625,737,1583,0.0
651,2183,1583,0.0
552,695,1582,0.0
627,674,1575,0.0
1659,1653,1570,0.0
673,720,1568,0.0
1201,1542,1567,0.0
1734,1579,1563,0.0
574,612,1558,0.0
157,758,1555,0.0
1254,1219,1553,0.0
204,1734,1552,0.0
201,800,1552,0.0
651,520,1552,0.0
365,800,1550,0.0
157,153,1546,0.0
529,1005,1546,0.0
506,1187,1546,0.0
647,611,1545,0.0
648,2194,1545,0.0
280,1264,1544,0.0
591,965,1542,0.0
765,833,1539,0.0
506,2182,1535,0.0
674,724,1534,0.0
806,1653,1533,0.0
625,94,1531,0.0
574,1202,1529,0.0
645,209,1528,0.0
150,725,1527,0.0
1064,1068,1527,0.0
1734,1812,1523,0.0
575,1189,1522,0.0
204,506,1513,0.0
682,737,1512,0.0
193,645,1510,0.0
661,683,1507,0.0
571,1005,1506,0.0
730,741,1505,0.0
286,864,1505,0.0
259,766,1504,0.0
647,498,1501,0.0
554,578,1501,0.0
645,203,1498,0.0
1264,1788,1497,0.0
647,714,1494,0.0
858,1808,1492,0.0
1542,1851,1491,0.0
625,875,1485,0.0
132,1808,1485,0.0
514,718,1485,0.0
1659,904,1484,0.0
708,739,1484,0.0
645,1366,1481,0.0
365,286,1480,0.0
965,966,1480,0.0
574,702,1479,0.0
579,1808,1474,0.0
663,506,1473,0.0
591,885,1470,0.0
199,554,1469,0.0
204,128,1469,0.0
575,680,1468,0.0
597,739,1467,0.0
1759,1820,1463,0.0
648,528,1460,0.0
702,578,1460,0.0
1573,1706,1460,0.0
682,2067,1459,0.0
237,856,1457,0.0
203,813,1457,0.0
53,733,1457,0.0
280,1734,1455,0.0
591,578,1455,0.0
627,737,1453,0.0
1759,1812,1453,0.0
506,597,1452,0.0
697,2190,1449,0.0
259,1323,1442,0.0
1306,1336,1441,0.0
529,286,1440,0.0
308,858,1437,0.0
625,286,1437,0.0
627,611,1436,0.0
645,856,1435,0.0
1548,1560,1434,0.0
259,890,1433,0.0
571,2183,1431,0.0
645,986,1429,0.0
591,1366,1428,0.0
1808,1642,1428,0.0
800,286,1427,0.0
574,569,1425,0.0
702,965,1425,0.0
702,1189,1425,0.0
806,708,1424,0.0
506,952,1424,0.0
591,858,1423,0.0
691,536,1422,0.0
514,565,1422,0.0
225,286,1421,0.0
645,1187,1421,0.0
625,1202,1420,0.0
651,680,1419,0.0
128,134,1418,0.0
700,758,1418,0.0
1752,1812,1418,0.0
708,724,1417,0.0
632,724,1415,0.0
1790,1851,1413,0.0
691,1808,1412,0.0
225,645,1411,0.0
199,1548,1410,0.0
308,904,1409,0.0
673,692,1409,0.0
102,691,1408,0.0
702,1161,1408,0.0
891,865,1406,0.0
