id,lat,lng,Name,City,Country,Label,degree,weighted_degree,component
796,35.7521018982,6.308589935300001,Batna Airport,Batna,Algeria,DABT,4,48,3
2293,39.6963996887207,20.82250022888184,Ioannina Airport,Ioannina,Greece,LGIO,1,42,4
2220,38.53390121,-106.9329987,Gunnison Crested Butte Regional Airport,Gunnison,United States,KGUC,1,40,2
1588,21.3974990845,103.008003235,Dien Bien Phu Airport,Dienbienphu,Vietnam,VVDB,1,36,13
1099,26.17099952697754,56.2406005859375,Khasab Air Base,Khasab,Oman,OOKB,1,32,10
2350,31.692188,38.731544,Turaif Domestic Airport,Turaif,Saudi Arabia,OETR,1,32,8
786,43.55630111694336,2.289180040359497,Castres-Mazamet Airport,Castres,France,LFCK,1,31,3
2292,45.039722,1.485556,Brive Souillac Airport,Brive,France,LFSL,2,29,3
1934,-0.693342,73.155602,Gan International Airport,Gan Island,Maldives,VRMG,2,28,12
2228,43.064201355,-108.459999084,Riverton Regional Airport,Riverton WY,United States,KRIW,1,27,2
2007,37.6827011108,26.3470993042,Ikaria Airport,Ikaria,Greece,LGIK,2,26,4
190,33.939701080322266,8.110560417175293,Tozeur Nefta International Airport,Tozeur,Tunisia,DTTZ,2,26,3
1067,29.626399993896484,43.4906005859375,Rafha Domestic Airport,Rafha,Saudi Arabia,OERF,1,24,8
2230,44.76919937133789,-106.9800033569336,Sheridan County Airport,Sheridan,United States,KSHR,1,23,2
775,44.17470169067383,0.5905560255050659,Agen-La Garenne Airport,Agen,France,LFBA,1,22,3
1596,9.95802997234,105.132379532,Rach Gia Airport,Rach Gia,Vietnam,VVRG,1,22,15
2011,42.85359954833984,71.30359649658203,Taraz Airport,Dzhambul,Kazakhstan,UADD,2,21,19
229,61.461700439453,21.799999237061,Pori Airport,Pori,Finland,EFPO,2,20,9
1584,9.177667,105.177778,Cà Mau Airport,Ca Mau,Vietnam,VVCM,1,18,15
798,44.89139938354492,2.4219400882720947,Aurillac Airport,Aurillac,France,LFLW,1,17,3
784,45.19810104370117,0.815555989742279,Périgueux-Bassillac Airport,Perigueux,France,LFBX,1,16,3
789,45.0806999206543,3.762890100479126,Le Puy-Loudes Airport,Le Puy,France,LFHP,1,16,3
2284,42.5890007019043,-5.65556001663208,Leon Airport,Leon,Spain,LELN,1,16,14
2000,-28.030000686645508,145.6219940185547,Cunnamulla Airport,Cunnamulla,Australia,YCMU,2,12,1
1994,30.9391002655,-6.909430027010001,Ouarzazate Airport,Ouarzazate,Morocco,GMMZ,2,8,3
1056,26.48,38.1288888889,Majeed Bin Abdulaziz Airport,Al-Ula,Saudi Arabia,OEAO,1,8,8
1331,-12.4822998047,-41.2770004272,Coronel Horácio de Mattos Airport,Lençóis,Brazil,SBLE,1,8,11
2689,-9.4008798599243,-38.250598907471,Paulo Afonso Airport,Paulo Alfonso,Brazil,SBUF,1,8,11
567,41.15570068,-104.8119965,Cheyenne Regional Jerry Olson Field,Cheyenne,United States,KCYS,1,7,2
1933,5.1561,73.1302,Dharavandhoo Airport,DHARAVANDHOO,Maldives,VRMD,1,6,12
2726,-27.986400604248047,143.81100463867188,Thargomindah Airport,Thargomindah,Australia,YTGM,1,6,1
2536,53.329102,69.594597,Kokshetau Airport,Kokshetau,Kazakhstan,UACK,1,6,16
