id,modularity,degree,weighted_degree,component,lat,lng,Name,City,Country,Label
807,897583.7170446534,115,13923,1,48.7233333,2.3794444,Paris-Orly Airport,Paris,France,LFPO
461,858665.8372105225,72,19471,1,30.12190055847168,31.40559959411621,Cairo International Airport,Cairo,Egypt,HECA
665,842698.1758510304,75,19489,1,41.785999,-87.752403,Chicago Midway International Airport,Chicago,United States,KMDW
236,841623.5562792923,74,19498,1,52.4538993835,-1.74802994728,Birmingham International Airport,Birmingham,United Kingdom,EGBB
1093,792328.2269631037,52,13742,1,29.226600646972656,47.96889877319336,Kuwait International Airport,Kuwait,Kuwait,OKBK
695,781664.024067718,23,13732,4,26.68320083618164,-80.09559631347656,Palm Beach International Airport,West Palm Beach,United States,KPBI
1759,752132.225271698,78,19666,1,22.639299392700195,113.81099700927734,Shenzhen Bao'an International Airport,Shenzhen,China,ZGSZ
905,719274.695833002,43,13602,1,38.2924003601,27.156999588,Adnan Menderes International Airport,Izmir,Turkey,LTBJ
578,717647.9031653459,17,13604,1,41.53400039672852,-93.66310119628906,Des Moines International Airport,Des Moines,United States,KDSM
1450,714048.7518087629,56,13591,1,50.345001220703125,30.894699096679688,Boryspil International Airport,Kiev,Ukraine,UKBB
1598,706098.3491947806,52,19762,1,10.8187999725,106.652000427,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,VVTS
53,665814.9530122221,38,19842,3,53.3097000122,-113.580001831,Edmonton International Airport,Edmonton,Canada,CYEG
1591,653974.6689508564,45,13450,1,21.221200942993164,105.80699920654295,Noi Bai International Airport,Hanoi,Vietnam,VVNB
1806,634205.0279468124,53,13400,1,31.742000579833984,118.86199951171876,Nanjing Lukou Airport,Nanjing,China,ZSNJ
1059,593868.3862050575,43,13288,1,26.471200942993164,49.79790115356445,King Fahd International Airport,Dammam,Saudi Arabia,OEDF
1064,586971.1269473311,89,20065,1,21.6796,39.156502,King Abdulaziz International Airport,Jeddah,Saudi Arabia,OEJN
340,574090.7120024597,76,20095,1,52.1656990051,20.9671001434,Warsaw Chopin Airport,Warsaw,Poland,EPWA
1101,556834.9199855097,54,13179,1,23.593299865722656,58.284400939941406,Muscat International Airport,Muscat,Oman,OOMS
498,547681.1296159544,19,13161,1,42.74829864501953,-73.80169677734375,Albany International Airport,Albany,United States,KALB
986,537697.8842261585,27,13128,1,9.993860244750977,-84.20880126953125,Juan Santamaria International Airport,San Jose,Costa Rica,MROC
1392,520139.127368914,52,13060,1,-12.0219,-77.114305,Jorge Chávez International Airport,Lima,Peru,SPIM
1809,514993.3874658936,52,13042,1,36.2661018372,120.374000549,Liuting Airport,Qingdao,China,ZSQD
257,501491.5264718275,157,20335,1,51.148102,-0.190278,London Gatwick Airport,London,United Kingdom,EGKK
692,494953.0477754872,19,12979,1,36.89459991455078,-76.20120239257812,Norfolk International Airport,Norfolk,United States,KORF
1507,468407.454308809,158,20463,1,55.40879821777344,37.90629959106445,Domodedovo International Airport,Moscow,Russia,UUDD
723,452986.0641893998,18,12812,1,43.118900299072266,-77.67240142822266,Greater Rochester International Airport,Rochester,United States,KROC
2190,437846.8381289015,16,12746,1,32.1161003112793,-110.94100189208984,Tucson International Airport,Tucson,United States,KTUS
527,435188.5689773103,46,12734,1,36.1245002746582,-86.6781997680664,Nashville International Airport,Nashville,United States,KBNA
810,426145.29351379815,65,12686,1,47.59,7.5291667,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,LFSB
884,421622.4835390324,59,12665,1,41.2481002808,-8.68138980865,Francisco de Sá Carneiro Airport,Porto,Portugal,LPPR
1321,421046.10453589575,49,12656,1,-22.8099994659,-43.2505569458,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,SBGL
1753,413499.10142494447,61,12622,1,28.1891994476,113.220001221,Changsha Huanghua International Airport,Changcha,China,ZGHA
769,411644.3304786808,119,20716,1,39.551700592,2.73881006241,Palma De Mallorca Airport,Palma de Mallorca,Spain,LEPA
