source,target,weight
246,769,138
246,771,36
246,781,149
246,833,387
246,852,271
246,868,207
246,878,104
246,896,17
1272,1790,96
763,257,124
763,272,387
763,810,53
763,766,69
763,799,46
763,807,603
763,769,109
763,852,139
763,295,156
763,258,212
763,278,153
763,771,117
1788,1530,43
1788,1806,522
1788,1833,646
1788,1825,477
1788,1790,333
1788,1798,351
1788,1796,132
1788,1805,1187
1788,1809,88
1788,1812,449
1788,1851,1948
1790,1806,343
1790,1833,204
1790,1825,293
1790,1798,292
1790,1805,96
1790,1809,188
1790,1812,699
1790,1851,1413
766,257,460
766,272,96
766,810,232
766,443,4
766,258,365
766,278,183
766,295,395
766,333,302
766,340,480
766,343,569
766,431,115
766,769,486
766,771,12
766,781,129
766,797,308
766,799,102
766,807,84
766,809,117
766,833,597
766,852,340
766,1507,230
766,878,1
257,272,246
257,295,20
257,333,138
257,343,103
257,368,169
257,431,68
257,769,304
257,771,99
257,781,71
257,797,107
257,799,93
257,809,49
257,810,95
257,813,204
257,832,162
257,833,284
257,838,122
257,841,253
257,852,32
257,859,204
257,861,62
257,865,462
257,868,173
257,878,347
257,884,124
257,890,100
257,896,78
257,905,187
257,929,65
257,1894,52
257,1450,76
257,443,76
257,921,21
257,1507,35
769,272,195
769,810,183
769,797,114
769,799,52
769,807,86
769,884,300
769,258,357
769,278,159
769,295,50
769,771,184
769,781,58
769,809,140
769,852,88
769,878,39
769,1507,394
769,343,39
771,443,82
771,799,21
771,807,86
771,884,348
771,809,74
771,852,188
771,431,402
771,278,136
771,890,399
771,1507,170
1796,1806,248
1796,1833,136
1796,1825,208
1796,1809,139
1796,1812,186
1796,1845,569
1796,1847,1020
1796,1851,894
258,272,164
258,810,191
258,807,83
258,295,124
258,861,412
1798,1833,602
1798,1825,510
1798,1809,316
1798,1820,143
1798,1844,1714
1798,1845,148
1798,1847,213
1798,1851,336
781,810,249
781,929,8
781,443,104
781,797,158
781,799,38
781,807,634
781,813,457
781,809,99
781,868,64
1806,1809,135
1806,1820,80
1806,1825,363
1806,1833,341
1806,1844,109
1806,1845,257
