source,target,weight,p_values
157,702,2787,0.723211213144023
157,708,152,0.701549124947077
157,718,123,0.541638034437178
157,723,120,0.596860804890995
157,724,2058,0.79417947318444
157,725,2587,0.746662128469787
157,730,3191,0.192717790773537
157,733,220,0.557637187604586
157,739,1204,0.60059696752828
157,2067,114,0.693375453870818
157,741,102,0.535832505279532
157,927,393,0.108141214428563
157,929,160,0.639413034178628
157,2050,127,0.430352787148659
157,937,256,0.211514103920766
157,1894,182,0.223753685573455
157,965,202,0.261927323084909
157,981,247,0.416532049939658
157,984,1073,0.23577342124475
157,985,334,0.00600649905770464
157,986,635,0.416795267001725
157,987,620,0.411676955027062
157,1896,48,0.230110463026009
157,992,302,0.320517559173931
157,2051,67,0.387463878062092
157,2052,73,0.45834957542915
157,1999,145,0.271615410414286
157,995,356,0.0973944136157983
157,998,102,0.0891052183884965
157,1005,345,0.255315809957236
157,1404,128,0.325049331784351
157,1405,240,0.760595089548396
157,1411,111,0.111306850298841
157,1417,818,0.0332264345555239
157,1421,175,0.0747895546994404
157,1422,560,0.131692404284307
157,1426,84,0.179640478064883
157,2068,199,0.505405832781767
157,2069,240,0.16704998572568
157,990,22,0.267920061852679
157,2702,25,0.00946976157100601
35,124,2,0.446253166016636
36,70,30,0.00537058362266779
36,2029,36,0.417792346518997
36,85,22,0.0801376726717951
70,81,31,0.0411827999581412
2029,82,25,0.0877966282980106
2029,87,53,0.137009064156328
2029,95,39,0.315546457883498
2029,100,44,0.571968765854809
2029,125,35,0.0653716703367651
2029,128,42,0.105883564911793
2029,85,13,0.111599369331531
2029,57,17,0.0466998363728849
37,2030,7,0.281064912668022
37,2031,32,0.522463819793547
2031,56,24,0.342886940409981
38,45,21,0.772006695763382
38,155,31,0.28546306551128
45,2033,46,0.277415981537831
155,50,134,0.0100504411217298
155,77,454,0.883156190426027
155,94,1380,0.563303143486765
155,112,94,0.626536918489165
155,128,287,0.0176167872374111
155,591,455,0.0056635937018715
155,663,335,0.361876626804243
155,2044,13,0.397004376449684
155,2003,2,0.138944344625781
39,102,23,0.177631970116604
39,128,35,0.977612484477678
39,136,19,0.725502029670735
39,156,36,0.552086167569507
102,41,10,0.486584274537144
102,64,63,0.615411024187218
102,65,73,0.670576437815631
102,75,102,0.208332740655325
102,82,22,0.805973945425213
102,94,419,0.744563526229939
102,128,865,0.590467694317874
102,2042,27,0.457571915964148
102,136,33,0.633909848690322
102,156,38,0.447219062537626
102,2032,181,0.0309755411986665
102,591,412,0.861922537777596
102,691,1408,0.897043651766391
102,700,209,0.130792934307281
102,929,118,0.913189636784022
102,981,57,0.898254849295672
128,41,82,0.892312850270375
128,53,1843,0.465968627890338
128,58,96,0.543050944048714
128,63,44,0.00982347608489115
128,77,381,0.686080996245134
128,91,59,0.529031410912622
128,94,221,0.652064515139191
128,107,130,0.0601645156607927
128,120,105,0.57355650440458
128,129,139,0.0513934032260148
128,134,1418,0.00281953948431713
128,136,77,0.449262186947272
128,150,263,0.0663379279490287
128,151,85,0.407485878155185
128,156,32,0.118353953099995
128,2032,335,0.579947718294822
128,2049,57,0.622349043123449
128,506,183,0.794622048338397
128,514,77,0.124700273976554
128,529,325,0.492883511506045
128,554,2485,0.544835752981978
128,571,2616,0.3876208989741
128,574,3150,0.47968240470713
128,575,4232,0.793385570469718
128,579,178,0.00133208500390205
128,591,251,0.749832941060939
128,597,2747,0.713328140056724
128,625,199,0.752428834801812
128,627,3762,0.261559054566095
128,645,273,0.43600755221796
128,647,3340,0.0214878031611862
128,648,4687,0.717711607740871
128,651,791,0.787950471953189
128,663,3257,0.785730346309179
128,673,2802,0.143193928721963
128,682,2155,0.0986666468719818
128,691,576,0.0139482856477764
128,700,311,0.586249838015067
128,733,4666,0.201751177592004
128,929,88,0.605673892932779
128,2050,51,0.244701950993153
