source,target,weight,p_values
712,648,36,0.362333030651941
712,575,1205,0.479433696011886
712,647,8,0.542961523413001
712,736,278,0.545366024939586
712,733,362,0.0236793251756642
712,730,590,0.0913328796383258
712,682,1044,0.409160569372739
554,663,564,0.196651216894949
554,700,471,0.357514940597096
554,733,284,0.418221793805387
554,648,290,0.000770453753737217
554,723,157,7.89781820165937e-05
554,647,240,0.363888504562051
554,653,577,0.439441901813074
554,506,1023,0.366090436438926
554,682,334,0.270185440380118
554,571,414,0.209884399450157
554,673,338,0.604976572563593
554,730,5468,0.023342802004424
554,575,490,0.333408040425938
554,579,546,0.376050046777979
554,720,345,0.52752128337593
554,736,4506,0.642288597534033
554,645,635,0.118705157934948
554,578,1501,0.243388263238641
663,571,521,0.99451416427652
663,506,1473,0.531535594072583
663,733,195,0.16345302181299
663,673,403,0.0149614536705768
663,579,370,0.613750680930952
663,682,293,0.461112638827966
663,575,658,0.529368505260783
663,647,158,0.578380680524674
663,700,809,0.00247328316420411
663,730,6626,0.615005038263905
663,736,135,0.63931073678049
663,645,813,0.312653157118926
663,723,3164,0.619482981421697
663,648,816,0.0113873080622369
663,720,940,0.605830106049925
700,720,283,0.325869688227645
700,645,221,0.134220213335159
700,648,450,0.03422850787564
700,579,546,0.561600828361614
700,506,1312,0.606333069174636
700,647,308,0.005107556812585
700,575,583,0.133022169250859
700,624,123,0.642859054609148
700,571,137,0.61380892282366
700,730,6956,0.634716187223121
700,723,269,0.638026754768051
700,635,88,0.561465119642014
700,673,343,0.606904293640334
700,736,4778,0.0108099510768858
700,733,540,0.325847453819983
700,682,379,0.566126097798472
571,578,2523,0.612191827902299
571,736,2642,0.561894438839984
571,730,3664,0.482728727683327
571,723,123,0.000246994438095656
571,653,1691,0.0655876583495211
571,575,443,0.16557233638204
571,733,8269,0.378183305284389
571,647,7566,0.488538186481256
571,648,252,0.531366139733321
571,673,447,0.0316965031499456
571,682,420,0.607594518933139
571,506,1172,0.363888504562051
571,645,395,0.385302287303377
571,579,385,0.3512060339309
682,648,602,0.199043307296977
682,723,748,5.55384482225393e-05
682,575,651,0.00137942012410055
682,578,140,0.434817218056816
682,736,184,0.298573367091732
682,506,828,1.40826865914573e-05
682,647,442,0.398096165657245
682,730,539,0.369658516023632
682,720,2139,0.472736349336886
682,579,266,0.167319809840302
682,733,493,0.606359372651007
682,673,210,6.87564896154265e-05
682,645,245,0.222922866727744
682,2190,977,0.327800835936636
682,2189,431,0.57782242286293
648,506,1457,0.215135656436143
648,730,1757,0.63529243078938
648,733,3959,0.234856754179786
648,736,1062,0.444733509445998
648,673,594,0.0321113045993287
648,2190,535,0.242221056206183
648,579,382,0.0179148421915368
648,575,1513,0.640675046895966
648,647,2605,0.579274972565107
648,645,3288,0.461448553990731
648,563,10,0.199908932293751
578,506,1316,0.477801959815992
578,575,146,0.44198197406952
578,579,523,0.520248958093143
578,647,1185,0.614090896324609
579,720,80,0.222914257058138
579,733,164,0.565700022281525
579,575,631,0.638426816998238
579,730,247,0.581544064126072
579,673,265,0.00133786221368815
579,736,113,0.0546391157368526
579,645,118,0.178730867913549
579,653,829,0.475911529053452
579,2189,532,0.62407560946925
579,647,431,0.0093011516045758
