source,target,weight,mlf_score
627,578,288,2.300724316927312
575,529,634,2.243055606843908
625,647,460,2.103720615128777
506,591,1072,2.088193665251862
691,578,535,1.961422412612211
648,736,1062,1.6490189402157138
574,2189,263,1.200305452525661
627,682,508,0.9620754988012892
663,529,556,0.9160208310298186
702,648,1431,0.8195367229494553
645,723,230,0.6886634706283523
627,653,144,0.5362036693108821
700,663,809,0.4740021351835276
554,529,584,0.4391657621938089
2190,736,348,0.4284646734953099
554,591,669,0.3392728644775681
700,506,1312,0.3096619628259422
691,653,265,0.195819137165389
591,648,795,0.1595633068335113
627,2189,178,0.1518853152172967
579,613,86,0.1188208838738619
574,529,467,0.0746333309930605
625,613,75,0.0589868551071514
691,591,787,0.0538179482843949
579,663,370,0.0477854922363116
691,645,610,0.0440402433725028
691,613,212,0.023627842061604
625,575,365,0.0228629599055675
579,647,431,0.0183116583611899
506,653,309,0.0165988554673135
2191,627,185,0.0165814787439705
554,627,512,0.0133445330696826
720,529,319,0.013073855278579
700,613,165,0.0077849042045669
682,529,472,0.0071178197417813
691,723,407,0.0038915883522669
591,673,461,0.0016784281440034
597,645,445,0.0007841600692563
627,591,365,0.0002518304323851
574,2190,249,0.0002015029558741
574,653,144,9.01686821353426e-05
579,673,265,3.520300616219298e-05
506,648,1457,2.5728337580998395e-05
506,720,695,9.077992716688964e-06
691,673,709,6.370806422961249e-06
575,2190,292,5.9328657066503175e-06
627,663,424,3.7017685402714144e-06
591,575,576,1.5111546447912914e-06
2191,579,107,4.260332409547688e-07
700,498,260,2.226018763940607e-07
529,673,353,1.9330428061392038e-07
730,648,1757,5.1966486354309157e-08
591,498,188,3.990472121312121e-08
506,645,663,3.692375506903424e-08
2191,691,308,3.6540950267104475e-08
2191,625,90,2.3237525174287263e-08
682,575,651,2.3000684843682125e-08
720,645,232,2.0809287731868604e-08
625,591,214,8.671076227996752e-09
648,663,816,4.881380200861951e-09
574,712,132,4.254862138345639e-09
700,723,269,1.4070454811183767e-09
597,529,430,4.319099523408953e-10
574,591,432,1.820958939357336e-10
575,663,658,9.237033360847423e-11
579,498,95,4.760059013733157e-11
579,682,266,3.92162968773009e-11
579,648,382,2.928279840873202e-11
700,627,414,2.9261149059751187e-11
702,712,219,1.7695844789656943e-11
575,733,851,1.2041145858249557e-11
691,2189,248,1.1119327680892612e-11
597,579,287,5.700995231466429e-12
702,2190,344,1.603273069862474e-12
625,682,230,9.84101689028223e-13
2191,506,361,8.916201110768609e-13
574,730,1131,4.973799150321938e-13
575,673,508,5.984102102729773e-14
579,723,95,5.5955240441109455e-14
575,647,762,5.2513549064771286e-14
627,647,437,8.548717289613742e-15
625,627,141,5.551115123125799e-15
625,673,178,6.661338147750941e-16
733,730,1599,4.440892098500627e-16
625,720,127,2.220446049250313e-16
571,506,1172,-0.0
571,691,1131,-0.0
691,730,1038,-0.0
506,554,1023,-0.0
702,730,1012,-0.0
506,647,931,-0.0
730,647,919,-0.0
702,647,880,-0.0
702,733,842,-0.0
691,702,830,-0.0
506,682,828,-0.0
700,691,781,-0.0
691,647,778,-0.0
506,733,755,-0.0
691,663,748,-0.0
506,702,737,-0.0
575,730,735,-0.0
682,702,732,-0.0
702,736,706,-0.0
691,554,693,-0.0
575,702,669,-0.0
691,736,603,-0.0
682,648,602,-0.0
648,673,594,-0.0
730,645,589,-0.0
700,575,583,-0.0
554,663,564,-0.0
730,736,549,-0.0
700,733,540,-0.0
682,730,539,-0.0
575,736,536,-0.0
591,702,530,-0.0
597,691,526,-0.0
571,663,521,-0.0
506,730,517,-0.0
647,736,504,-0.0
702,645,498,-0.0
627,702,497,-0.0
627,730,497,-0.0
682,733,493,-0.0
554,575,490,-0.0
700,554,471,-0.0
700,574,464,-0.0
574,663,462,-0.0
506,736,458,-0.0
700,648,450,-0.0
597,663,449,-0.0
571,673,447,-0.0
700,702,444,-0.0
571,575,443,-0.0
682,647,442,-0.0
733,736,437,-0.0
571,682,420,-0.0
597,700,419,-0.0
691,720,417,-0.0
571,554,414,-0.0
597,575,411,-0.0
554,702,411,-0.0
574,554,407,-0.0
663,673,403,-0.0
571,645,395,-0.0
591,682,390,-0.0
627,733,387,-0.0
571,579,385,-0.0
730,529,384,-0.0
700,682,379,-0.0
579,702,377,-0.0
597,571,359,-0.0
733,673,354,-0.0
597,554,352,-0.0
591,730,351,-0.0
554,720,345,-0.0
700,673,343,-0.0
554,673,338,-0.0
554,682,334,-0.0
702,663,312,-0.0
700,647,308,-0.0
702,529,300,-0.0
627,736,295,-0.0
682,663,293,-0.0
591,647,292,-0.0
554,648,290,-0.0
554,733,284,-0.0
700,720,283,-0.0
597,648,270,-0.0
645,736,254,-0.0
571,648,252,-0.0
597,574,251,-0.0
579,730,247,-0.0
682,645,245,-0.0
597,733,240,-0.0
554,647,240,-0.0
571,627,236,-0.0
571,591,228,-0.0
647,673,225,-0.0
574,673,223,-0.0
700,645,221,-0.0
691,498,211,-0.0
682,673,210,-0.0
506,2189,203,-0.0
597,627,201,-0.0
647,529,199,-0.0
733,663,195,-0.0
625,691,192,-0.0
574,578,191,-0.0
2191,575,184,-0.0
